B3 1TL,No,52.485265,-1.905563,406510,287487,SP065874,"West Midlands","Birmingham","Soho & Jewellery Quarter",E08000025,E05011168,England,E11000018,"Birmingham, Ladywood",1998-12-01,2001-02-01,"Birmingham, unparished area","",,,"West Midlands","Birmingham","Birmingham 138B","Urban major conurbation",West Midlands,130,,E01033622,,E02006899,"Birmingham 138",E43000250,E00175771,E14000564,12315,6,1,2019-02-23,"Birmingham Snow Hill",0.486735,B,B3
B3 1TN,No,52.47666,-1.903535,406649,286530,SP066865,"West Midlands","Birmingham","Ladywood",E08000025,E05011151,England,E11000018,"Birmingham, Ladywood",2001-06-01,2003-07-01,"Birmingham, unparished area","",,,"West Midlands","Birmingham","Birmingham 138D","Urban major conurbation",West Midlands,141,,E01033625,,E02006899,"Birmingham 138",E43000250,E00175658,E14000564,12673,1,1,2019-02-23,"Birmingham New Street",0.259589,B,B3
B3 1TQ,No,52.47666,-1.903535,406649,286530,SP066865,"West Midlands","Birmingham","Ladywood",E08000025,E05011151,England,E11000018,"Birmingham, Ladywood",1994-05-01,2003-07-01,"Birmingham, unparished area","",,,"West Midlands","Birmingham","Birmingham 138D","Urban major conurbation",West Midlands,141,,E01033625,,E02006899,"Birmingham 138",E43000250,E00175658,E14000564,12673,1,1,2019-02-23,"Birmingham New Street",0.259589,B,B3
B3 1TR,Yes,52.486093,-1.907137,406403,287579,SP064875,"West Midlands","Birmingham","Soho & Jewellery Quarter",E08000025,E05011168,England,E11000018,"Birmingham, Ladywood",1980-01-01,,"Birmingham, unparished area","",48,31,"West Midlands","Birmingham","Birmingham 138C","Urban major conurbation",West Midlands,137,,E01033623,,E02006899,"Birmingham 138",E43000250,E00175708,E14000564,5997,1,0,2019-02-23,"Jewellery Quarter",0.554099,B,B3
B3 1TS,Yes,52.486036,-1.906941,406416,287572,SP064875,"West Midlands","Birmingham","Soho & Jewellery Quarter",E08000025,E05011168,England,E11000018,"Birmingham, Ladywood",2016-12-01,,"Birmingham, unparished area","",,,"West Midlands","Birmingham","Birmingham 138C","Urban major conurbation",West Midlands,137,,E01033623,,E02006899,"Birmingham 138",E43000250,E00175708,E14000564,5997,1,0,2019-02-23,"Jewellery Quarter",0.568201,B,B3
B3 1TT,Yes,52.486359,-1.906896,406419,287608,SP064876,"West Midlands","Birmingham","Soho & Jewellery Quarter",E08000025,E05011168,England,E11000018,"Birmingham, Ladywood",1980-01-01,,"Birmingham, unparished area","",,,"West Midlands","Birmingham","Birmingham 138C","Urban major conurbation",West Midlands,136,,E01033623,,E02006899,"Birmingham 138",E43000250,E00175708,E14000564,5997,1,0,2019-02-23,"Jewellery Quarter",0.547369,B,B3
B3 1TU,Yes,52.486794,-1.906503,406446,287657,SP064876,"West Midlands","Birmingham","Soho & Jewellery Quarter",E08000025,E05011168,England,E11000018,"Birmingham, Ladywood",1980-01-01,,"Birmingham, unparished area","",,,"West Midlands","Birmingham","Birmingham 138C","Urban major conurbation",West Midlands,134,,E01033623,,E02006899,"Birmingham 138",E43000250,E00175654,E14000564,5997,1,1,2019-02-23,"Jewellery Quarter",0.540676,B,B3
B3 1TW,Yes,52.486072,-1.907073,406407,287576,SP064875,"West Midlands","Birmingham","Soho & Jewellery Quarter",E08000025,E05011168,England,E11000018,"Birmingham, Ladywood",2016-12-01,,"Birmingham, unparished area","",,,"West Midlands","Birmingham","Birmingham 138C","Urban major conurbation",West Midlands,135,,E01033623,,E02006899,"Birmingham 138",E43000250,E00175708,E14000564,5997,1,0,2019-02-23,"Jewellery Quarter",0.558878,B,B3
B3 1TX,Yes,52.487028,-1.906679,406434,287683,SP064876,"West Midlands","Birmingham","Soho & Jewellery Quarter",E08000025,E05011168,England,E11000018,"Birmingham, Ladywood",1980-01-01,,"Birmingham, unparished area","",41,25,"West Midlands","Birmingham","Birmingham 138C","Urban major conurbation",West Midlands,134,,E01033623,,E02006899,"Birmingham 138",E43000250,E00175654,E14000564,5997,1,0,2019-02-23,"Jewellery Quarter",0.516785,B,B3
B3 1TY,No,52.487181,-1.907179,406400,287700,SP064876,"West Midlands","Birmingham","Soho & Jewellery Quarter",E08000025,E05011168,England,E11000018,"Birmingham, Ladywood",1993-08-01,1996-06-01,"Birmingham, unparished area","",,,"West Midlands","Birmingham","Birmingham 138C","Urban major conurbation",West Midlands,135,,E01033623,,E02006899,"Birmingham 138",E43000250,E00175654,E14000564,5997,8,1,2019-02-23,"Jewellery Quarter",0.479047,B,B3
